InvoiceID,Operation,DomainName,Amount,Date
798019541,REGISTER_DOMAIN,tbird.cloud,25.0,2021-07-28T09:25:36.405Z
845233101,TRANSFER_IN_DOMAIN,liamind.com,12.0,2021-09-09T17:24:29.642Z
,REGISTER_DOMAIN,liamhildreth.com,12.0,2021-09-13T03:07:52.754Z
